src,trg,usage_count,forwarded_satoshis
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02b3877314aff657216ceac039244fe94e7116af10cfffac0232fefa5903c62a58,22,220000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02c69a0b4cb468660348d6d457d9212563ad08fb94d424395da6796fb74a13f276,22,220000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,22,220000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0374ecf61ed6c1208c42339f47decde2bc0c4393ac95f07827b3471e939d7eb961,22,220000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03ed88bb37c8c53c509d9a355e5a103614ebd30c98b7895ea4ccaddee262db190d,22,220000
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,03fab7f8655169ea77d9691d4bd359e97782cb6177a6f76383994ed9c262af97a5,21,210000
02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,20,200000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c,20,200000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,036a33e92cda2679ac91ac0467acb1ba33396c0df1119521653e0f269c275dd6bf,20,200000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,037eb17d0fee2d20bacea3d78940b40f4ac61a5a7040a23b6e8280c80d7ebfb420,20,200000
023e8b9d0c52dc22d07f70a69624e2457df5760ca0b4d87a5df460b08863f46448,02c5371591b640da03f9a645e2ddfa5620d8537388b03ddd524d36766c0f550db0,19,190000
02da8d5a759ee9e4438da617cfdb61c87f723fb76c4b6371b877d0347abe953a4f,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,19,190000
0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6,0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,19,190000
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,02ba3ea3146bce6cb5093c1e6dee21a33faf1fb38f2bc1dc805038ebf9f2ecbeab,19,190000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02059220fa2153fb6d7768d7d67c6b86f441f83b7046aea492f2018f7b800edfa9,18,180000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,031f8400b123834edd5736de9aac14ec0d77c11bff27f5a6eb0da5f6ce66ef0975,18,180000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,038118e0490f8d3df07b6bdc5e7034dee90d769012764d31bfeb167269866824f0,18,180000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0388a2cd707ac944a2b0c8adbf67c4a313d24b6dc2ab2baba842f9a9eecf925131,18,180000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03a8355790b89f4d96963019eb9413b9a2c884691837ac976bacfe25a5212892d7,18,180000
02ba3ea3146bce6cb5093c1e6dee21a33faf1fb38f2bc1dc805038ebf9f2ecbeab,03f18da23535adee245903c81750745197e3079d3b88b3898981c90a5f2411008c,18,180000
