transaction_id,src,trg,balance_before,balance_after
749,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0357e23939805a0a739b693107f1efd33936023afb7dea6472cd2118df6a0a7036,19353.01513079283,9353.015130792832
783,032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,0361c37f8b01ea5f0b926abded5ed0300d5130a0654b0b5a4ff6241dfd0316cc15,11930.026372550028,1930.026372550028
793,03a36349d4bf3e1b0843d8f79608699f0e2f9881e37420c3954f7805f21189bf46,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,11993.022614977788,1993.0226149777882
815,03a8d7a71b22447a4b47ea944d28120b107300bef7dc7fd0fc2cc53585551ef1db,028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,12001.268842264744,2001.2688422647443
826,02964c50e89786896df7e5d10d7bb6995b0bbdaf891ff24fbcc52b75aae544e514,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,11236.987409269117,1236.987409269117
831,02310841b34230632b2e8185f9429dbf27a463270cf049a66ce2d56b524b283b6d,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,16445.743245490878,6445.743245490878
833,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,10317.887288469268,317.88728846926824
841,034aaa404a318beb1d4f9c3fa9603ac24702a9dc6bb31d14d7f02ab94823e28aa9,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,10813.749816746797,813.7498167467966
857,03f02d965aea25de84613ad2be36573d2bd8c6d6dd47d9a516d233098c281d3ae7,02b49462e0dc837f9cc832ac2242cc82df5ee0a195d3452ce8b329776df7a13271,14340.671413121985,4340.671413121985
870,02e7c2b4cb7d9ebf11e02bc9a6db4ed9d5b48b5a77f5ab9ffd9102adfca0add902,02480c283dea91c64dd76777ade0517cf697a42ac7dd4892735b41d456f381a450,17473.701827205867,7473.701827205867
903,02a1394d82f8cb61c2380f7622760f5761da995eb5162abd6416189323c59218ac,02cbc036f85c74f26edf19f5a8513a96d162282ab68aa62cee47439a553519ddd5,16087.025387225016,6087.025387225016
907,02551a0f955f86c892682487cc9403c4caf09ec37ae427b4475ea62379e94b15fe,02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520,15578.21697144347,5578.216971443469
912,03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b,02e7c42ae2952d7a71398e23535b53ffc60deb269acbc7c10307e6b797b91b1e79,11656.58719885437,1656.5871988543695
