node,total_income,total_traffic,failed_traffic_ratio,opt_delta,income_diff
024844abb8efc3262539fffb66cbb46282324894212a13bb5b4c7cae96744e5a97,8.48,8,0.0,28.42,168.40000000000003
020de548b86e373e795e37343c9ef6f972d45ade479cc71ed5a9a7dac2588d0a37,8.48,8,0.0,0.0,0.0
032c4b954f0f171b694b5e8e8323589e54196b48cf2efc27692513a360cb11d76f,8.48,8,0.0,29.28,82.54
0246eaf6812013fb860306943f79a0e4fdc5971d5efaeb3cd58049545803bfb491,8.48,8,0.25,0.0,0.0
0215bea618806194ad88b80de8bc11c6391edb2fa1beeea6174305856596faeee8,8.48,8,0.125,57.33,225.07999999999998
03434a39cd9a537c852fc8fb72454086d726f9111e9f730cef4985c39c11fae944,8.07,51,0.0196078431372549,0.0,0.0
02ccf167c482cbcd41c9a3ff3fe05504368db8911319d7851186b097a509d912c0,7.66,11,0.36363636363636365,0.06,0.4199999999999997
02b8db36a01866d78cba98109886495f3c13c4b3668a8328b582a0c4fa460b4e8d,7.42,7,0.0,57.88,110.46000000000001
03b1be68b8f564fe53f5456cf4bec901ba968fb72ed7291279ab0c87e0d22f1f49,7.42,7,0.42857142857142855,0.0,0.0
0204e5a5ff14b090c1210cb99e7e616f840e0ef1b08fc9a268d13b7a2e5e997845,7.42,7,0.0,27.78,165.62
0384d130bfd760b6e9e1155963558367533552ef971563a72c6c5cb117af9db93d,7.42,7,0.14285714285714285,0.0,0.0
038b36a43c38f75cd15bb25394f1cd162f717df005585229182e62620db9d3f3ea,7.42,7,0.2857142857142857,5.75,13.01
021802799027508e8a8bf9a0ab96ea78a6a995926a0b1310561a74375a06e14de9,7.42,7,0.0,29.32,83.72000000000001
03a8355790b89f4d96963019eb9413b9a2c884691837ac976bacfe25a5212892d7,7.42,7,0.14285714285714285,0.0,0.0
03c613267a1745d08984621be6a710487cb97eb595f7672a550cbd10a6f70c873f,7.42,7,0.0,29.32,53.339999999999996
03321fab5e3db6c378e23e9cceb522325dc4f6b0c68819944569128d34cba9cca3,7.42,7,0.2857142857142857,0.0,0.0
023b7dba0075975778c820a56a157de5eed67e988e6c7edd723af73ad20e4463ed,7.42,7,0.2857142857142857,57.88,169.4
02f3069a342ae2883a6f29e275f06f28a56a6ea2e2d96f5888a3266444dcf542b6,7.42,7,0.0,0.0,0.0
0267586e510d80fab314fbfa091f383b775646e7a87bc9ed8cd59bcded50405d6a,7.42,7,0.0,0.0,0.0
038118e0490f8d3df07b6bdc5e7034dee90d769012764d31bfeb167269866824f0,7.412999999999999,7,0.0,0.0,0.0
036b343eb46c5db996d3d1e2c6cc9742cbfa7e3b4146d4b4b0aef694b6d12960c8,7.079999999999999,13,0.0,0.25,0.4400000000000013
03e53bc4a3a50c2ec4936b95e4a118044ed216853fb03a4c1d479ddddaac98734a,7.0,1,0.0,0.0,0.0
02ec3e575a0641fc419b783f48c4ec3a330c80ddd18b6c4ec0c653a0fb704df6ed,7.0,1,1.0,0.0,0.0
027ba5217fecd12ebb621e51b88b8c9640cce659bd894f4c8e820e09173826fca2,7.0,1,0.0,22.5,22.5
031f8e4c9d882be5b0976d9897f695bd6c66febcd8a67eb1a4f42b9f532f40fd18,7.0,1,0.0,532.94,532.94
03377f891367579d0cdfc2833bc323a1d01514eea40d48cce86d31e398223e0cb3,7.0,1,0.0,22.88,22.88
035f3a87393269e9bfb594f9ed6d2d3551ff527889be510429a8fa99736d710fdb,7.0,1,0.0,0.0,0.0
03ed88bb37c8c53c509d9a355e5a103614ebd30c98b7895ea4ccaddee262db190d,6.92,7,0.42857142857142855,594.5,4161.5
0335f1fcbb62b9490d0b4007fa158669e42f08599149b2cc54ed1d36888737e6d7,6.511,16,0.0,28.78,109.24900000000001
038d0543c2f838fc6229bd7b80df46d8bad9f30c874ee3ac4578c4ce6f57956f08,6.4,4,0.75,0.0,0.0
03301e633b25d769377bf75ce6b6ed2ec570270bc06c8c02bf33c5bd2aa47da098,6.4,4,1.0,0.0,0.0
03f810ac5ca2edf9e7908b4edf98411a26b555d8aee6b1c9a0a5ad62b9359aa546,6.4,4,1.0,0.0,0.0
030f5bd59457dba436dfdebceebcc3206ac8dfcd40bb1a616942253c3fcc5be174,6.4,4,1.0,0.0,0.0
032ebdae3314f072acd70e66e18572e6ba27f96918009369585e7cdcf36af3cf9e,6.4,4,1.0,0.0,0.0
027c3b1cc5a649d5f6f7be2d591e34c37dc146fbed54d7f4c85898f9330107fe1c,6.4,4,0.0,0.0,0.0
03f47ba61341a704b0910b6d1fc8a938bb97152e8df94dfc142816d2721b5d5c73,6.4,4,0.5,27.84,111.36
03785c99cd75dcd0b3f2f4cedc5a82e108396abba65f107e97d93e3fdb212d38f4,6.36,6,0.0,28.32,169.92000000000002
0398212beaa280eabc2223dcacf248496c59195fea23a7684888cb948baa9f38e6,6.36,6,0.0,0.0,0.0
027c3abc90a51617fb9cf5162c2fedfd9832c620ef82b54e413e9ce0f892dabb0d,6.36,6,0.5,0.0,0.0
022df3659d511f156e3ee91ef608a095ce3399234d374c7105356a36a904469372,6.36,6,1.0,0.0,0.0
02262bbc21c171bc91a1d6bbf89571c95873849b9a60d3ea9671b777d852d39ecd,6.36,6,0.16666666666666666,0.0,0.0
03a8334aba5660e241468e2f0deb2526bfd50d0e3fe808d882913e39094dc1a028,6.36,6,0.3333333333333333,0.0,0.0
02ee8c98a78d8061f6c9c09a9b36b05e02e03736609ea5e5eb8afdcd7f7163c50f,6.36,6,0.0,0.0,0.0
032a438e14dde2082aefd287d52664d3ac99c395a99d5e6a87f38778515fad75f7,6.36,6,0.16666666666666666,0.0,0.0
0241c4cdf9b4f38b7e87fb2d5c243aee340b43e478970b5957066d14dde82214a4,6.36,6,0.0,0.0,0.0
02df6d3454bc4c0cdd9b6e5f04451f53c48d22300d3066cf4a8fb49effd025c0af,6.36,6,0.0,29.38,54.519999999999996
02e5353624ec2180f6fd1b584dea493b91f982764db8e2cf520a0f1d18cf0f9d7e,6.36,6,0.0,29.32,54.4
03d13612439b12fa96583ab294461e07837729769cb62d3e9f792a0a3dbb18f6d4,6.36,6,0.0,0.0,0.0
036ac04a69f2ab587fd83c4f2aca255a81f138276fbca344ac3ecfae28d733be56,6.36,6,0.16666666666666666,29.5,54.76
0354fcd9f1554f3505238e1b3c29223868953730c30b6565ad482dc31e90bcfa93,6.36,6,1.0,0.0,0.0
023216c5b9a54b6179645c76b279ae267f3c6b2379b9f305d57c75065006a8e5bd,6.343999999999999,104,0.0,0.82,3.3470000000000013
0332052748755d74b3395b91eaea78b53bd64b55eb031ccb6a7ae23ac445bb6af7,6.276,21,0.09523809523809523,5.88,13.545
0237fefbe8626bf888de0cad8c73630e32746a22a2c4faa91c1d9877a3826e1174,6.14,69,0.0,0.74,7.660000000000003
02c5371591b640da03f9a645e2ddfa5620d8537388b03ddd524d36766c0f550db0,6.039,99,0.0,23.32,40.723
031d2bbc75802689312220a017c6b51fa246efc59c7aa9355f6f7395038ffb4d6a,5.72,61,0.04918032786885246,0.54,2.289
0321ad07ca4a3e590830ea835844820ea08b0e8d2e7dbdc32aa98e801ab9fd862e,5.549999999999999,5,0.0,148.89,144.45
03ac2a5d7df493c67195067dfb38e7e250c89ecb4fe5c2d918fc31fd9a08695516,5.300000000000001,5,0.8,0.0,0.0
02b63f62d2109b05deb45d18dde6c829d1df4825dfc104f858e5ec165bc6b11690,5.300000000000001,5,0.0,0.0,0.0
0223390bea8aa598442d056ace37c07e7364da1341b3681c371f6619b2879c0af2,5.300000000000001,5,0.0,5.04,0.7999999999999989
02964c50e89786896df7e5d10d7bb6995b0bbdaf891ff24fbcc52b75aae544e514,5.300000000000001,5,0.0,4.94,0.6999999999999993
03f9ceb115a119594b4688ceed35feb80f33a3dd0f5cf688a7493c1a7217633931,5.300000000000001,5,0.4,4.88,18.46
02059220fa2153fb6d7768d7d67c6b86f441f83b7046aea492f2018f7b800edfa9,5.300000000000001,5,0.4,58.82,174.34
0319fec13dcb6df5b6a0cee49e85b4f6c48e5387d62d67858d6d46615b6e683f81,5.300000000000001,5,0.4,0.74,1.9
02de4ba1b08b2895bde816f012d4b4a5fdd797dfdf6443c28db183ca4a83043835,5.300000000000001,5,0.0,0.0,0.0
033181a72d4d61c6f3138240d98994e9553726bc65c892e9fe7a7b728a54005a36,5.300000000000001,5,0.0,26.78,106.06
02445ff6a24e69242d6f6f38e1b7e8ae9c01eb9b660f3daf3304cb4b7cfeb79a99,5.300000000000001,5,0.0,0.0,0.0
0215f33968047401f191b2c3203ece6d5781ca7f2c018e7795d5e5ddc05c8b4ebd,5.300000000000001,5,0.6,28.26,111.98
0330f0afe893e809d8790b26b40d9353f586ef0894d4ae704d06be24538c030457,5.300000000000001,5,0.0,0.0,0.0
