transaction_id,source,target,amount_SAT,success,path_length,routing_fee,route,failure_reason
3473,03c561e8d04f54a75f4fd6a52123ac029910b5193ac82b8732d8c3d6a58ffc129f,02d7ca7aae77a43a65a50cbf806cf7b43af2f89c1cf331f98a3415263fa2031368,10000,True,2.0,0.399,03c561e8d04f54a75f4fd6a52123ac029910b5193ac82b8732d8c3d6a58ffc129f|02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8|02d7ca7aae77a43a65a50cbf806cf7b43af2f89c1cf331f98a3415263fa2031368,
3474,029778ad462a45dfc432f13ba8a7e52dc1c430c36e532beef66d9a9385d7bd4098,02059220fa2153fb6d7768d7d67c6b86f441f83b7046aea492f2018f7b800edfa9,10000,True,4.0,1.759,029778ad462a45dfc432f13ba8a7e52dc1c430c36e532beef66d9a9385d7bd4098|031157d786ca2fb7b86f330366db3e0bb6925b336d285ed40705976eaa68ead610|021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|02059220fa2153fb6d7768d7d67c6b86f441f83b7046aea492f2018f7b800edfa9,
3475,026c915977811b4c4efde1b465fda1952e25bc702a3bba8f7346964ae302115efb,03902356d26efdc0812726c31a1a2e0d721f26063dd252ac89ded8280037e9ece8,10000,True,3.0,5.51,026c915977811b4c4efde1b465fda1952e25bc702a3bba8f7346964ae302115efb|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490|03902356d26efdc0812726c31a1a2e0d721f26063dd252ac89ded8280037e9ece8,
3476,03186a35a07a94b3168b6c27167c4bf66870c69a3c5da8a03d69db88a5726410db,02f9c7deb297e32fc3d3d55f336176055cd667a2fada0bd5663e7413e1aba55b86,10000,True,4.0,1.03,03186a35a07a94b3168b6c27167c4bf66870c69a3c5da8a03d69db88a5726410db|021802799027508e8a8bf9a0ab96ea78a6a995926a0b1310561a74375a06e14de9|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6|02f9c7deb297e32fc3d3d55f336176055cd667a2fada0bd5663e7413e1aba55b86,
3477,0310ca652ed911674fcd468abb25d4dd7a9b8d6d94425cbcd2c4a6e062aa022991,02cfda4768450a63d33120d08180a4aaf727a19d264262ddc88a6904b6f4766fd4,10000,False,,,,no_liquidity_feasible_path
3478,02d0f53a403a0b16efdec1983a082ab7645e35858f6a855871e489c9992748a059,0276e09a267592e7451a939c932cf685f0754de382a3ca85d2fb3a864d4c365ad5,10000,True,3.0,2.01,02d0f53a403a0b16efdec1983a082ab7645e35858f6a855871e489c9992748a059|028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2|03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba|0276e09a267592e7451a939c932cf685f0754de382a3ca85d2fb3a864d4c365ad5,
3479,03894b1dee1a2682abe06483b526fe43014e53470fb7cbe0817eebaff0b7b98187,0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,10000,True,3.0,0.02,03894b1dee1a2682abe06483b526fe43014e53470fb7cbe0817eebaff0b7b98187|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6|0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,
3480,03937338c1005d29bcfe1e9add68c0cdf5329683cc3af15c94750acd49457ba7c6,028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675,10000,True,2.0,0.9,03937338c1005d29bcfe1e9add68c0cdf5329683cc3af15c94750acd49457ba7c6|024a8228d764091fce2ed67e1a7404f83e38ea3c7cb42030a2789e73cf3b341365|028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675,
3481,027bdcfe79c7ecab414465137e234beea15a11b672753fe2dc6bd579868a3d7976,032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,10000,True,3.0,1.28,027bdcfe79c7ecab414465137e234beea15a11b672753fe2dc6bd579868a3d7976|0290fb6ecd5865f7a973e1d48ffbc2612f80f6a2defbd6a188928bd0492bc2847e|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,
3482,039128dd192e21009f4eea7fa973d21ee9010acef0d9f7c922175aa87616dfe4d9,02a45def9ae014fdd2603dd7033d157faa3a55a72b06a63ae22ef46d9fafdc6e8d,10000,True,2.0,0.677,039128dd192e21009f4eea7fa973d21ee9010acef0d9f7c922175aa87616dfe4d9|03cb7983dc247f9f81a0fa2dfa3ce1c255365f7279c8dd143e086ca333df10e278|02a45def9ae014fdd2603dd7033d157faa3a55a72b06a63ae22ef46d9fafdc6e8d,
3483,0272d4499b8fc57dee7dded07c5316b7546ba9de9d3deceba065511f3237cd20f9,02683666b4902e0af6c8d9fa7b171c1421b71933255bdaceb4dc0202c4e900dac5,10000,False,,,,no_liquidity_feasible_path
