experiment_type,experiment_id,top_k,remove_pct,selected_channel_pairs,changed_raw_rows,removed_capacity_sat,total_transactions,successful_transactions,failed_transactions,success_rate_pct,failure_rate_pct,average_path_length,average_routing_fee,total_depletion_events,nodes_with_depletion_events,initial_active_directed_edges,final_active_directed_edges,runtime_seconds,successful_transactions_change_pct,failed_transactions_change_pct,success_rate_pct_change_pct,failure_rate_pct_change_pct,average_path_length_change_pct,average_routing_fee_change_pct,total_depletion_events_change_pct,nodes_with_depletion_events_change_pct
ebc_attack,ebc_top200_remove70,200.0,70.0,200,454,764455880.0,6998.0,4653.0,2345.0,66.49042583595313,33.50957416404687,2.801418439716312,1.2768255963894262,689.0,223.0,32897.0,32712.0,8.705859600000622,-0.2786112301757394,0.5574614065180102,-0.2786112301757241,0.5574614065180009,0.2255669354110828,2.2301630223146818,3.6090225563909772,10.945273631840797
ebc_attack,ebc_top5_remove80,5.0,80.0,5,12,6339104.0,6998.0,4662.0,2336.0,66.61903400971707,33.38096599028294,2.794937794937795,1.2487569712569713,670.0,203.0,32984.0,32803.0,8.89227690000007,-0.08572653236176597,0.17152658662092624,-0.08572653236174486,0.17152658662092665,-0.006289287074430332,-0.017176106237633007,0.7518796992481203,0.9950248756218906
ebc_attack,ebc_top10_remove80,10.0,80.0,10,22,8851114.0,6998.0,4667.0,2331.0,66.69048299514147,33.309517004858535,2.794086136704521,1.2724842154131848,637.0,207.0,32963.0,32787.0,8.590201299999535,0.021431633090441493,-0.04288164665523156,0.02143163309044687,-0.042881646655221,-0.03675882638171978,1.8825665406979648,-4.2105263157894735,2.985074626865672
ebc_attack,ebc_top20_remove80,20.0,80.0,20,44,20067740.0,6998.0,4654.0,2344.0,66.50471563303802,33.49528436696199,2.7889987107864203,1.3608542830540036,624.0,207.0,32978.0,32797.0,8.652598800001215,-0.2571795970852979,0.5145797598627787,-0.2571795970852772,0.5145797598627799,-0.2187702459021812,8.957993636426803,-6.165413533834586,2.985074626865672
ebc_attack,ebc_top30_remove80,30.0,80.0,30,64,23976274.0,6998.0,4678.0,2320.0,66.84767076307516,33.152329236924835,2.810602821718683,1.2641352073535699,685.0,212.0,32957.0,32752.0,8.855579099999886,0.2571795970852979,-0.5145797598627787,0.25717959708529853,-0.5145797598627799,0.5541540111898188,1.2140958760883152,3.007518796992481,5.472636815920398
ebc_attack,ebc_top40_remove80,40.0,80.0,40,84,34258256.0,6998.0,4663.0,2335.0,66.63332380680194,33.36667619319805,2.7996997641003647,1.2786863607119878,668.0,218.0,32945.0,32750.0,8.663138199999594,-0.06429489927132448,0.12864493996569468,-0.0642948992713193,0.12864493996568432,0.16407835678808694,2.3791467524180745,0.45112781954887216,8.457711442786069
ebc_attack,ebc_top50_remove80,50.0,80.0,50,104,52818246.0,6998.0,4666.0,2332.0,66.67619319805658,33.32380680194341,2.8009001285897988,1.2347411058722675,662.0,209.0,32936.0,32760.0,8.793948900000032,0.0,0.0,0.0,0.0,0.20702346265911376,-1.1393686807198837,-0.45112781954887216,3.9800995024875623
ebc_attack,ebc_top100_remove80,100.0,80.0,100,218,249428744.0,6998.0,4638.0,2360.0,66.27607887967991,33.72392112032009,2.826865028029323,1.3530249029754204,648.0,203.0,32938.0,32767.0,9.148769199999151,-0.6000857265323618,1.2006861063464838,-0.6000857265323419,1.2006861063464864,1.1359624350929456,8.331127442593782,-2.556390977443609,0.9950248756218906
ebc_attack,ebc_top200_remove80,200.0,80.0,200,454,873664212.0,6998.0,4655.0,2343.0,66.51900543012289,33.480994569877105,2.8174006444683135,1.356820157536699,704.0,204.0,32904.0,32707.0,8.769394700000703,-0.2357479639948564,0.4716981132075472,-0.23574796399485165,0.47169811320753763,0.7973578215699392,8.634997833043213,5.864661654135339,1.492537313432836
ebc_attack,ebc_top5_remove90,5.0,90.0,5,12,7131490.0,6998.0,4658.0,2340.0,66.56187482137754,33.438125178622464,2.7954057535422927,1.247551524259339,669.0,203.0,32982.0,32803.0,8.706336200000806,-0.17145306472353194,0.34305317324185247,-0.17145306472351104,0.3430531732418533,0.010452737527514045,-0.1136912790468182,0.6015037593984962,0.9950248756218906
ebc_attack,ebc_top10_remove90,10.0,90.0,10,22,9957500.0,6998.0,4665.0,2333.0,66.66190340097171,33.33809659902829,2.7942122186495175,1.271612826009289,638.0,206.0,32960.0,32784.0,8.547880100000839,-0.021431633090441493,0.04288164665523156,-0.021431633090425558,0.042881646655221,-0.032248027766835025,1.8127979825894056,-4.06015037593985,2.487562189054726
ebc_attack,ebc_top20_remove90,20.0,90.0,20,44,22576202.0,6998.0,4663.0,2335.0,66.63332380680194,33.36667619319805,2.802058760454643,1.2720532918721852,688.0,208.0,32940.0,32755.0,8.804650800000672,-0.06429489927132448,0.12864493996569468,-0.0642948992713193,0.12864493996568432,0.2484755120484951,1.8480642688363138,3.4586466165413534,3.482587064676617
ebc_attack,ebc_top30_remove90,30.0,90.0,30,64,26973302.0,6998.0,4616.0,2382.0,65.96170334381252,34.038296656187484,2.804159445407279,1.2265389948006933,683.0,219.0,32994.0,32788.0,8.808833299999606,-1.0715816545220747,2.144082332761578,-1.0715816545220667,2.144082332761583,0.323631132267781,-1.7960779089380994,2.706766917293233,8.955223880597014
